Item,Description,Preferred Vendor,Size_Matched_Text,Height,Width,Depth,MERV,MERV Value,Classification
MINI-12246H," EFS 12x24x6,Header MINI Pleat MERV 15",Parker-Hannifin Corporation,12x24x6,12.0,24.0,6.0,MERV 15,15.0,air_filter
MINI-16206," EFS 16x20x6, MINI Pleat MERV 15","Wetzel Technologies Co., Ltd",16x20x6,16.0,20.0,6.0,MERV 15,15.0,air_filter
MINI-16206H," EFS 16x20x6, MINI Pleat MERV 15","Wetzel Technologies Co., Ltd",16x20x6,16.0,20.0,6.0,MERV 15,15.0,air_filter
MINI-20206H," EFS 20x20x6, MINI Pleat MERV 15","Wetzel Technologies Co., Ltd",20x20x6,20.0,20.0,6.0,MERV 15,15.0,air_filter
MINI-24246," EFS 24x24x6, MINI Pleat MERV 15",Parker-Hannifin Corporation,24x24x6,24.0,24.0,6.0,MERV 15,15.0,air_filter
MINI-24246H," EFS 24x24x6, Header MINI Pleat MERV 15",Parker-Hannifin Corporation,24x24x6,24.0,24.0,6.0,MERV 15,15.0,air_filter
MINI75-2/00,VILEDON  20x20x2 Mini Pleat 75%,"Freudenberg Filtration Technologies, L.P.",20x20x2,20.0,20.0,2.0,75%,12.0,air_filter
MINI75-2/05,VILEDON   20x25x2 Mini Pleat 75%,"Freudenberg Filtration Technologies, L.P.",20x25x2,20.0,25.0,2.0,75%,12.0,air_filter
MINI75-2/24,VILEDON 12x24x2 Mini Pleat 75%,"Freudenberg Filtration Technologies, L.P.",12x24x2,12.0,24.0,2.0,75%,12.0,air_filter
MINI75-2/44,VILEDON  24x24x2 Mini Pleat 75%,"Freudenberg Filtration Technologies, L.P.",24x24x2,24.0,24.0,2.0,75%,12.0,air_filter
MINI75-2/60,VILEDON 16x20x2 Mini Pleat 75%,"Freudenberg Filtration Technologies, L.P.",16x20x2,16.0,20.0,2.0,75%,12.0,air_filter
MINI75-2/64,VILEDON 16x24x2 Mini Pleat 75%,"Freudenberg Filtration Technologies, L.P.",16x24x2,16.0,24.0,2.0,75%,12.0,air_filter
MINI75-2/65,VILEDON 16x25x2 Mini Pleat 75%,"Freudenberg Filtration Technologies, L.P.",16x25x2,16.0,25.0,2.0,75%,12.0,air_filter
MINI75-4/44,VILEDON 24x24x4 Mini Pleat 75%,"Freudenberg Filtration Technologies, L.P.",24x24x4,24.0,24.0,4.0,75%,12.0,air_filter
MINI85-2/24,VILEDON 12x24x4 MiniPleat 85%,"Freudenberg Filtration Technologies, L.P.",12x24x4,12.0,24.0,4.0,85%,13.0,air_filter
MINI85-2/24.,VILEDON 12x24x2 MiniPleat 85%,"Freudenberg Filtration Technologies, L.P.",12x24x2,12.0,24.0,2.0,85%,13.0,air_filter
MINI85-2/44,VILEDON 24x24x2 MiniPleat 85%,"Freudenberg Filtration Technologies, L.P.",24x24x2,24.0,24.0,2.0,85%,13.0,air_filter
MINI85-2/60,VILEDON 16x20x2 MiniPleat 85%,"Freudenberg Filtration Technologies, L.P.",16x20x2,16.0,20.0,2.0,85%,13.0,air_filter
